EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1336.31699978	200.0	0.00360345	0.171751	0.426077937475	0.43444685631	150800
-1143.66149142	200.0	0.00571904	0.298601	0.484683195656	0.493039560365	153400
-1346.19932092	200.0	0.00164399	0.14362	0.401000238338	0.408501231018	156000
-1192.62063166	200.0	0.00220655	0.248494	0.490576747907	0.504137318673	158600
-1209.26793858	200.0	0.00143389	0.210802	0.467854381894	0.469795134025	161200
-1297.24401621	200.0	0.000775478	0.191054	0.472235955412	0.481009289902	163800
-1160.12708883	200.0	0.00867089	0.279876	0.523463041871	0.535839601045	166400
-1158.94854884	200.0	0.000890986	0.268419	0.471341302678	0.481764877298	169000
-1193.09206959	200.0	0.00401156	0.217919	0.400037428287	0.401378077084	171600
-1166.68871046	200.0	0.000784508	0.232427	0.46845836553	0.469624047476	174200
-1124.82824866	200.0	0.0014108	0.25245	0.400507039016	0.413895089879	176800
-1327.62230333	200.0	0.00114321	0.121303	0.434714771584	0.441116405574	179400
-1139.30746865	200.0	0.00188282	0.24965	0.42196783413	0.428870271753	182000
-1208.00831484	200.0	0.000410501	0.222331	0.419191782293	0.421980125206	184600
-1079.90524025	200.0	0.00691313	0.429655	0.483482153841	0.489437582752	187200
-1494.82998436	200.0	0.00215204	0.215206	0.405218445129	0.412396849008	189800
-1188.81544561	200.0	0.00153188	0.376816	0.374756610855	0.404094467156	192400
-1133.39992502	200.0	0.00123393	0.45662	0.39715053378	0.403949402842	195000
-1254.87613103	200.0	0.00261477	0.410423	0.303979180656	0.317087212954	197600
-1011.98761478	200.0	0.0021736	0.555559	0.223807142872	0.269073853475	200200
-1279.25821413	200.0	0.0025318	0.417767	0.340036164354	0.356319561765	202800
-1222.53933341	200.0	0.00278373	0.492893	0.412270987476	0.422582083037	205400
-1238.96699044	200.0	0.00254689	0.468642	0.393372596915	0.39562138995	208000
-1376.16706932	200.0	0.00565027	0.378497	0.359666209184	0.368786820431	210600
-1257.87903458	200.0	0.00208927	0.409244	0.311100428387	0.338286610207	213200
-1271.6471271	200.0	0.00203627	0.409286	0.38371261684	0.396382060189	215800
-1296.45976447	200.0	0.00367734	0.351611	0.28802010436	0.30441117043	218400
-1303.31613182	200.0	0.00283224	0.352267	0.428997968404	0.449845619376	221000
