EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1394.71820204	200.0	0.00300635	0.7276	0.143767823835	0.149734850297	169000
-1233.45240781	200.0	0.0006351	0.65282	0.0436651797142	0.0668208950889	171600
-1191.16888206	200.0	0.000983555	0.767723	0.194707439036	0.202011513961	174200
-1389.41890408	200.0	0.000821148	0.711634	0.0388785311664	0.0518582020223	176800
-1377.74403816	200.0	0.00486808	0.756682	0.133026404577	0.140740482925	179400
-1316.35342966	200.0	0.00209283	0.801937	0.301343730689	0.324784907537	182000
-1418.07342288	200.0	0.00191643	0.762901	0.155785340939	0.163949136056	184600
-1511.57767587	200.0	0.000900838	0.882044	0.259702409189	0.272519852916	187200
-1344.60795475	200.0	0.0041635	0.882472	0.300020066488	0.304929925083	189800
-1323.46776086	200.0	0.00136086	0.756321	-0.0160803278956	0.0124523335085	192400
-1473.83843692	200.0	0.000684335	0.865056	0.197822946262	0.217945566545	195000
-1441.8281048	200.0	0.00202476	0.899062	0.26504515476	0.26927813639	197600
-1354.8083326	200.0	0.00693515	0.870264	0.3878604061	0.397751968504	200200
-1140.49703206	200.0	0.00957103	0.816717	0.0589502987929	0.0826826499886	202800
-1283.80944674	200.0	0.00213416	0.920186	0.281344210618	0.28862321862	205400
-1495.41228296	200.0	0.00114912	0.946242	0.327108337482	0.333872261377	208000
-1261.70406711	200.0	0.00168601	0.994425	0.417114022068	0.425324828931	210600
-1161.61526937	200.0	0.00171498	0.953399	0.404189974126	0.412256794269	213200
-1232.72267126	200.0	0.00155942	0.924208	0.227385107551	0.238798568763	215800
-1233.27312646	200.0	0.00176605	0.961326	0.343892691028	0.346118291991	218400
-1397.36282417	200.0	0.0004683	1.0166	0.372370013192	0.380267537994	221000
-1315.07508588	200.0	0.00169858	0.981236	0.455304432042	0.463505866726	223600
-1262.56727334	200.0	0.00124537	0.982653	0.499879234369	0.509600303867	226200
-1092.85579327	200.0	0.00271444	1.00026	0.33649432696	0.359417942871	228800
-1032.69376355	200.0	0.00219085	1.03314	0.357461970078	0.369957314	231400
-1242.05563	200.0	0.00129318	1.00552	0.505276091524	0.518585139988	234000
-1121.42986301	200.0	0.00135892	1.01797	0.497045249063	0.509526291168	236600
